NMT;NOMBRE;DIRECCION;LONGITUD;LATITUD;X (ETRS89);Y (ETRS89);ALTITUD;FECHA ALTA
RF 1;Pº Recoletos;Frente al Nº 23 del Paseo de Recoletos;-3.691877;40.422599;441307;4474893;648;07/03/2011
RF 2;Carlos V;Plaza del Emperador Carlos V, junto al Nº 1 del Paseo de la Infanta Isabel;-3.691509;40.409121;441327;4473397;629;01/12/1998
RF 3;Plaza del Carmen;Plaza del Carmen frente al Nº 3 de la Calle de la Salud;-3.703175;40.419251;440346;4474529;657;01/11/1999
RF 4;Plaza de España;Frente al Nº 18 de la Plaza de España;-3.712253;40.424005;439580;4475063;637;01/12/1998
RF 5;Bº del Pilar;Parque de La Vaguada semiesquina de Avenida Monforte de Lemos con Calle Ginzo de Limia;-3.711543;40.478197;439688;4481078;673;07/06/1999
RF 6;Gregorio Marañón;Frente al Paseo de la Castellana Nº 51;-3.690758;40.437548;441415;4476552;669;01/06/1999
RF 8;Escuelas Aguirre;Junto a Calle Alcalá 62 (Dentro del recinto de la Casa Árabe);-3.682377;40.421575;442112;4474773;672;01/12/1998
RF 10;Cuatro Caminos;Frente al Nº 18 de la Avenida Pablo Iglesias;-3.707157;40.445581;440031;4477454;699;25/03/1999
RF 11;Ramón y Cajal;Parque de Berlín junto al Nº 210 de la Calle Príncipe de Vergara;-3.677359;40.451522;442563;4478094;708;01/12/1998
RF 12;Manuel Becerra;Junto a la entrada del Parque María Eva Duarte De Perón en la Plaza de Manuel Becerra; -3.668584;40.428741;443288;4475560;678;01/12/1998
RF 13;Vallecas;Frente al Nº 26 de la Calle del Río San Lorenzo;-3.651506;40.388116;444704;4471039;677;11/11/1999
RF 14;Plaza Elíptica;Frente al Nº 4 de la Avenida de Oporto;-3.718807;40.384978;438989;4470735;605;22/12/2009
RF 16;Arturo Soria;Frente al Nº 2 de la Calle del Vizconde de los Asilos;-3.639284;40.440013;445783;4476792;698;01/12/1998
RF 17;Villaverde;Frente al Nº 61 de la Calle de Palomares;-3.713312;40.347100;439421;4466527;601;01/12/1998
RF 18;Farolillo;Frente al Nº1 de la Calle Farolillo;-3.731786;40.394788;437896;4471833;625;01/12/1998
RF 19;Alto Extremadura;Frente al Nº 4 de la Calle Hilario Sangrador;-3.741950;40.407871;437046;4473293;632;01/12/1998
RF 20;Avda Moratalaz;Junto al lateral del Nº 109 de la Calle Camino de los Vinateros;-3.645215;40.408028;445254;4473246;671;01/12/1998
RF 24;Casa de Campo;Mirador junto a la Estación Teleférico Terminal;-3.747319;40.419390;436601;4474575;645;01/12/1998
RF 25;Santa Eugenia;Parque junto al Nº 1 de la Calle Poza de la Sal;-3.602561;40.379072;448851;4470006;653;01/12/1998
RF 26;Embajada;Parque junto al Nº 2 de la Calle Soto Hidalgo;-3.580128;40.459331;450814;4478902;618;03/03/2011
RF 27;Barajas Pueblo;Frente al Nº 21 de la Calle Júpiter;-3.580101;40.476929;450829;4480855;627;24/05/2002
RF 28;Cuatro Vientos;Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata;-3.777830;40.375250;433969;4469698;678;30/04/2003
RF 29;El Pardo;Parque del Concejal Miguel Martín Vela;-3.774551;40.517989;434387;4485540;616;01/10/2003
RF 30;Campo de las Naciones;Frente al Nº 27 de la Calle Ribera del Sena;-3.616317;40.460761;447747;4479082;687;10/11/2003
RF 31;Sanchinarro;Junto al Nº 14 de la Calle María Tudor;-3.660454;40.494254;444032;4482826;700;14/07/2009
RF 47;Mendez Álvaro;Frente al Nº 13 de la Calle Juan de Mariana;-3.686808;40.398022;441716;4472162;609;18/01/2010
RF 48;Castellana;Jardín de Las Bellas Artes a la altura del Nº2 de la Calle José Gutierrez Abascal;-3.690302;40.439854;441456;4476807;685;04/05/2010
RF 50;Pza de Castilla;Frente al Nº 9 de la Plaza Castilla;-3.688719;40.465628;441612;4479667;728;28/02/2011
RF 54;Ensanche de Vallecas;Esquina entre la Avenida de la Gavia y la Avenida de las Suertes;-3.612100;40.372993;448037;4469337;619;15/12/2009
RF 55;Urb Embajada 2;Frente al Nº 13 de la Calle Riaño;-3.580599;40.462298;450776;4479232;619;17/03/2010
RF 86;Tres Olivos;Frente al Nº 23 de la Avenida del Campo de Calatrava;-3.689643;40.500598;441564;4483550;715;08/02/2010
